city,pm25,pm10,population,color_pm10,color_pm25,population_count,data_value
Henderson,7.4,15.4311381507325,257295,green,green,50,10.8
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,51,10.4
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,51,17.2
Phoenix,8.68,18.1003079930214,1447624,green,green,52,6.6
Lancaster,8.95,18.6633360066292,448969,green,green,52,10.8
Fort Collins,6.8,14.1799647871596,144344,green,green,53,7.9
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,53,8.1
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,55,14.9
Charleston,7.3,15.2226092568037,227078,green,green,56,17
New York,6.625,13.8150392227842,8174962,green,green,56,9.1
Louisville,8.15,16.9951048551986,1031932,green,green,57,11.9
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,59,8.8
Louisville,8.15,16.9951048551986,1031932,green,green,60,6.4
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,61,7.9
Kansas City,7.6,15.8481959385901,1604389,green,green,61,20.4
Omaha,7.3,15.2226092568037,780190,green,green,61,4.5
Greensboro,8.05,16.7865759612698,336610,green,green,61,6.4
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,61,23.7
Duluth,5.1,10.6349735903697,279771,green,green,62,9.3
Modesto,9.85,20.5400960519885,384558,yellow,green,62,10.4
Salinas,5.7,11.8861469539426,415057,green,green,65,11
Lawton,6.8,14.1799647871596,130291,green,green,65,12.6
Fresno,13.05,27.2130206577107,711610,yellow,yellow,69,18
Miami,7.85,16.3695181734122,5817221,green,green,71,22.7
Oakland,7.83333333333333,16.3347633577574,420005,green,green,71,7.1
Kansas City,7.6,15.8481959385901,1604389,green,green,72,7
New York,6.625,13.8150392227842,8174962,green,green,72,16.4
New York,6.625,13.8150392227842,8174962,green,green,73,8.6
New York,6.625,13.8150392227842,8174962,green,green,73,5.2
New York,6.625,13.8150392227842,8174962,green,green,73,9.1
Philadelphia,9.46,19.7268333656661,5585211,green,green,74,8.4
Kansas City,7.6,15.8481959385901,1604389,green,green,75,14.1
Dallas,8.2,17.099369302163,1317929,green,green,75,10
Dallas,8.2,17.099369302163,1317929,green,green,76,12.8
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,76,12.5
Portsmouth,5.55,11.5733536130494,79499,green,green,78,2.6
San Jose,8.75,18.2462782187715,1729674,green,green,79,11.2
San Jose,8.75,18.2462782187715,1729674,green,green,80,7.7
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,81,9.4
Jersey City,8.75,18.2462782187715,264152,green,green,81,8.9
Tempe,7.35,15.3268737037681,161780,green,green,81,8.7
Seattle,5.975,12.4596014122468,3248724,green,green,81,14.8
Fort Wayne,8.36666666666667,17.4469174587111,326960,green,green,81,18.9
Kansas City,7.6,15.8481959385901,1604389,green,green,82,17.6
Boston,6.7,13.9714358932308,4249036,green,green,82,9.2
Duluth,5.1,10.6349735903697,279771,green,green,83,8.8
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,83,7.8
Honolulu,3.1,6.46439571179334,847986,green,green,84,5.4
New York,6.625,13.8150392227842,8174962,green,green,84,5.9
Mesa,6.7,13.9714358932308,440134,green,green,88,6.4
Greenville,9.6,20.0187738171665,462567,yellow,green,89,20
Yakima,8.55,17.8292204309139,243231,green,green,90,12.5
Concord,5.9,12.3032047418002,650099,green,green,91,7.2
Victorville,7.5,15.6396670446613,115921,green,green,92,14.6
Des Moines,7.15,14.9098159159105,496779,green,green,94,9.8
Greensboro,8.05,16.7865759612698,336610,green,green,95,8.4
Kansas City,7.6,15.8481959385901,1604389,green,green,95,10.5
South Bend,9,18.7676004535936,101045,green,green,95,6.4
Albuquerque,5,10.4264446964409,826787,green,green,96,9.8
Duluth,5.1,10.6349735903697,279771,green,green,96,7
Honolulu,3.1,6.46439571179334,847986,green,green,97,11.2
Charleston,7.3,15.2226092568037,227078,green,green,98,12.1
Salt Lake City,8.71666666666667,18.1767685874619,1095726,green,green,98,7.3
Raleigh,8.9,18.5590715596648,1139770,green,green,100,5.8
New York,6.625,13.8150392227842,8174962,green,green,105,6.6
Seattle,5.975,12.4596014122468,3248724,green,green,106,8.7
Tacoma,7.06666666666667,14.7360418376364,198397,green,green,109,13.5
Dallas,8.2,17.099369302163,1317929,green,green,112,15.4
New York,6.625,13.8150392227842,8174962,green,green,113,12.2
Fayetteville,8.5,17.7249559839495,328726,green,green,114,23.4
Omaha,7.3,15.2226092568037,780190,green,green,115,7.2
Dallas,8.2,17.099369302163,1317929,green,green,116,14.6
New York,6.625,13.8150392227842,8174962,green,green,117,4.8
Concord,5.9,12.3032047418002,650099,green,green,117,9
Long Beach,10.6333333333333,22.1735723877643,462236,yellow,yellow,117,18.8
Cedar Rapids,7.8,16.2652537264478,257940,green,green,118,9
Baton Rouge,10.3333333333333,21.5479857059777,663232,yellow,yellow,120,7.6
Phoenix,8.68,18.1003079930214,1447624,green,green,120,10
Richmond,8.5,17.7249559839495,1029581,green,green,121,10
Albuquerque,5,10.4264446964409,826787,green,green,123,5.2
Yuma,8.3,17.3078981960919,195751,green,green,123,18.1
Detroit,8.4,17.5164270900207,3639050,green,green,123,9.7
Knoxville,10.25,21.3742116277038,646670,yellow,yellow,127,9.9
Cleveland,9.7,20.2273027110953,1772872,yellow,green,127,11
Stockton,12.65,26.3789050819954,403353,yellow,yellow,127,10.8
North Las Vegas,10.2,21.2699471807394,216686,yellow,yellow,128,1.6
Fresno,13.05,27.2130206577107,711610,yellow,yellow,131,7
Glendale,6.7,13.9714358932308,226441,green,green,132,8.1
Lawton,6.8,14.1799647871596,130291,green,green,137,6.9
Auburn,5.9,12.3032047418002,13305,green,green,138,12
Charleston,7.3,15.2226092568037,227078,green,green,140,8.7
Baton Rouge,10.3333333333333,21.5479857059777,663232,yellow,yellow,142,8.7
Los Angeles,11.9,24.8149383775293,3792662,yellow,yellow,145,9.7
Santa Maria,7,14.5970225750172,99597,green,green,147,1.8
Glendale,6.7,13.9714358932308,226441,green,green,149,7.9
